Year,Region,Meadow,SiteName,Site,TidalRegime,Transect,Density
2018,SJ,SJ_A,BH,A,inter,A,19
2018,SJ,SJ_A,BH,A,inter,A,16
2018,SJ,SJ_A,BH,A,inter,A,25
2018,SJ,SJ_A,BH,A,inter,B,16
2018,SJ,SJ_A,BH,A,inter,B,22
2018,SJ,SJ_A,BH,A,inter,B,24
2018,SJ,SJ_A,BH,A,inter,C,36
2018,SJ,SJ_A,BH,A,inter,C,15
2018,SJ,SJ_A,BH,A,inter,C,17
2018,SJ,SJ_D,FB,D,inter,A,0
2018,SJ,SJ_D,FB,D,inter,A,0
2018,SJ,SJ_D,FB,D,inter,A,16
2018,SJ,SJ_D,FB,D,inter,B,21
2018,SJ,SJ_D,FB,D,inter,B,8
2018,SJ,SJ_D,FB,D,inter,B,17
2018,SJ,SJ_D,FB,D,inter,C,14
2018,SJ,SJ_D,FB,D,inter,C,16
2018,SJ,SJ_D,FB,D,inter,C,19
2018,SJ,SJ_C,IC,C,inter,A,4
2018,SJ,SJ_C,IC,C,inter,A,1
2018,SJ,SJ_C,IC,C,inter,A,10
2018,SJ,SJ_C,IC,C,inter,B,5
2018,SJ,SJ_C,IC,C,inter,B,12
2018,SJ,SJ_C,IC,C,inter,B,0
2018,SJ,SJ_C,IC,C,inter,C,15
2018,SJ,SJ_C,IC,C,inter,C,12
2018,SJ,SJ_C,IC,C,inter,C,10
2018,SJ,SJ_B,NC,B,inter,A,24
2018,SJ,SJ_B,NC,B,inter,A,33
2018,SJ,SJ_B,NC,B,inter,A,22
2018,SJ,SJ_B,NC,B,inter,B,26
2018,SJ,SJ_B,NC,B,inter,B,25
2018,SJ,SJ_B,NC,B,inter,B,22
2018,SJ,SJ_B,NC,B,inter,C,0
2018,SJ,SJ_B,NC,B,inter,C,0
2018,SJ,SJ_B,NC,B,inter,C,23
