SampleDate,SampleId,Region,SiteCode,TidalHeight,Transect,Blade,BrokenTip,Year,Prevalence,LesionArea,HealthyArea,BladeArea,Severity
2019-07-14,AK.A.1.U.1,AK,A,U,1,1,N,2019,0,0,2.397097229,3.74,0
2019-07-14,AK.A.1.U.2,AK,A,U,1,2,N,2019,0,0,3.695781075,5.02,0
2019-07-14,AK.A.1.U.3,AK,A,U,1,3,N,2019,1,0.057887872,3.538171456,4.4,0.0131563345454545
2019-07-14,AK.A.1.U.4,AK,A,U,1,4,N,2019,1,0.2190390784,3.278089517,4.24,0.05166016
2019-07-14,AK.A.1.U.5,AK,A,U,1,5,N,2019,0,0,2.664082566,3.76,0
2019-07-14,AK.A.1.U.6,AK,A,U,1,6,N,2019,1,0.085753152,3.497002752,4.5,0.019056256
2019-07-14,AK.A.1.U.7,AK,A,U,1,7,N,2019,0,0,0.73034,1.353,0
2019-07-14,AK.A.1.U.8,AK,A,U,1,8,N,2019,0,0,2.99679401,2.99679401,0
2019-07-14,AK.A.1.U.9,AK,A,U,1,9,N,2019,1,0.430923072,2.810330342,3.864,0.111522534161491
2019-07-14,AK.A.1.U.10,AK,A,U,1,10,N,2019,0,0,0.605126016,2.261,0
2019-07-14,AK.A.1.U.11,AK,A,U,1,11,N,2019,0,0,0.8612888384,1.54,0
2019-07-14,AK.A.1.U.12,AK,A,U,1,12,N,2019,1,0.447462464,5.597217894,7.95,0.0562845866666667
2019-07-14,AK.A.1.U.13,AK,A,U,1,13,Y,2019,0,0,0.523507712,1.416,0
2019-07-14,AK.A.1.U.14,AK,A,U,1,14,N,2019,1,0.210877248,1.965311232,3.12,0.0675888615384615
2019-07-14,AK.A.1.U.15,AK,A,U,1,15,N,2019,0,0,3.479222906,3.479222906,0
2019-07-14,AK.A.2.U.1,AK,A,U,2,1,N,2019,0,0,2.219802138,3.02,0
2019-07-14,AK.A.2.U.2,AK,A,U,2,2,N,2019,0,0,6.994167302,7.83,0
2019-07-14,AK.A.2.U.3,AK,A,U,2,3,N,2019,0,0,3.703853018,6.87,0
2019-07-14,AK.A.2.U.4,AK,A,U,2,4,N,2019,0,0,5.233333293,7.77,0
2019-07-14,AK.A.2.U.5,AK,A,U,2,5,N,2019,1,0.055550784,4.381320896,5.79,0.00959426321243523
2019-07-14,AK.A.2.U.6,AK,A,U,2,6,N,2019,1,0.327012544,6.65530752,9.88,0.0330984356275304
2019-07-14,AK.A.2.U.7,AK,A,U,2,7,N,2019,1,0.0764048,3.57125024,4.18,0.0182786602870813
2019-07-14,AK.A.2.U.8,AK,A,U,2,8,N,2019,0,0,4.566813773,6.84,0
2019-07-14,AK.A.2.U.9,AK,A,U,2,9,N,2019,0,0,4.719749216,5.37,0
2019-07-14,AK.A.2.U.10,AK,A,U,2,10,N,2019,1,0.127820736,5.286115526,7.02,0.0182080820512821
2019-07-14,AK.A.2.U.11,AK,A,U,2,11,Y,2019,1,0.3230934272,2.526697747,3.64,0.0887619305494505
2019-07-14,AK.A.2.U.12,AK,A,U,2,12,N,2019,1,0.103910528,6.301688128,10.17,0.0102173577187807
2019-07-14,AK.A.2.U.13,AK,A,U,2,13,Y,2019,0,0,0.0764048,2.92,0
2019-07-14,AK.A.2.U.14,AK,A,U,2,14,N,2019,0,0,1.978165216,3.68,0
2019-07-14,AK.A.2.U.15,AK,A,U,2,15,N,2019,0,0,3.493227456,6.81,0
2019-07-14,AK.A.3.U.1,AK,A,U,3,1,N,2019,0,0,0.576721408,2.58,0
2019-07-14,AK.A.3.U.2,AK,A,U,3,2,N,2019,1,1.252535347,4.829502464,6.082037811,0.205940078954238
2019-07-14,AK.A.3.U.3,AK,A,U,3,3,N,2019,0,0,0.463642304,0.73,0
2019-07-14,AK.A.3.U.4,AK,A,U,3,4,N,2019,0,0,5.089638336,5.82,0
2019-07-14,AK.A.3.U.5,AK,A,U,3,5,N,2019,0,0,4.4539504,5.13,0
2019-07-14,AK.A.3.U.6,AK,A,U,3,6,N,2019,1,0.247731328,2.04816999,3.72,0.0665944430107527
2019-07-14,AK.A.3.U.7,AK,A,U,3,7,N,2019,1,0.250427968,4.803434944,6.64,0.0377150554216868
2019-07-14,AK.A.3.U.8,AK,A,U,3,8,N,2019,0,0,3.131230502,3.225,0
2019-07-14,AK.A.3.U.9,AK,A,U,3,9,N,2019,0,0,2.669799443,3.135,0
2019-07-14,AK.A.3.U.10,AK,A,U,3,10,N,2019,0,0,0.356675584,1.51,0
2019-07-14,AK.A.3.U.11,AK,A,U,3,11,N,2019,1,0.099595904,2.455919936,4.46,0.0223309201793722
2019-07-14,AK.A.3.U.12,AK,A,U,3,12,N,2019,1,0.280270784,2.585196858,4.22,0.0664148777251185
2019-07-14,AK.A.3.U.13,AK,A,U,3,13,N,2019,1,0.645036288,4.487676378,6.3,0.102386712380952
2019-07-14,AK.A.3.U.14,AK,A,U,3,14,N,2019,0,0,0.360360992,1.43,0
2019-07-14,AK.A.3.U.15,AK,A,U,3,15,N,2019,0,0,2.391380352,2.391380352,0
2019-07-14,AK.A.4.L.1,AK,A,L,4,1,N,2019,1,8.176913606,14.31435838,22.491271986,0.363559411450354
2019-07-14,AK.A.4.L.2,AK,A,L,4,2,N,2019,1,8.140023571,6.483010202,19.6,0.41530732505102
2019-07-14,AK.A.4.L.3,AK,A,L,4,3,N,2019,1,4.009939635,9.947761139,17.8,0.22527750758427
2019-07-14,AK.A.4.L.4,AK,A,L,4,4,Y,2019,1,1.445578816,10.43817209,17.55,0.0823691633048433
2019-07-14,AK.A.4.L.5,AK,A,L,4,5,N,2019,1,7.583544941,7.879348371,21.08,0.359750708776091
2019-07-14,AK.A.4.L.6,AK,A,L,4,6,N,2019,1,14.68895763,9.672793747,31.7,0.463374057728707
2019-07-14,AK.A.4.L.7,AK,A,L,4,7,N,2019,1,4.729403187,3.640517933,10.6,0.446170111981132
2019-07-14,AK.A.4.L.8,AK,A,L,4,8,N,2019,1,1.021846784,23.84798753,27.28,0.037457726686217
2019-07-14,AK.A.4.L.9,AK,A,L,4,9,N,2019,1,6.041102816,19.09848538,25.139588196,0.240302377624515
2019-07-14,AK.A.4.L.10,AK,A,L,4,10,N,2019,1,12.97784966,8.553022976,28,0.463494630714286
2019-07-14,AK.A.4.L.11,AK,A,L,4,11,N,2019,1,5.232182726,6.511738406,17.8,0.293942849775281
2019-07-14,AK.A.4.L.12,AK,A,L,4,12,Y,2019,1,6.656835616,7.566645997,17.79,0.374189747948286
2019-07-14,AK.A.4.L.13,AK,A,L,4,13,N,2019,1,2.51858985,21.06863259,28.55,0.0882168073555166
2019-07-14,AK.A.4.L.14,AK,A,L,4,14,N,2019,1,5.117863168,16.67174309,26.6,0.192400870977444
2019-07-14,AK.A.4.L.15,AK,A,L,4,15,Y,2019,1,3.426890112,5.485505088,10.56,0.324516109090909
2019-07-14,AK.A.5.L.1,AK,A,L,5,1,Y,2019,1,1.981491072,31.55435543,33.535846502,0.0590857628085168
2019-07-14,AK.A.5.L.2,AK,A,L,5,2,Y,2019,1,0.2558751808,26.59323896,30.144,0.00848842823779193
2019-07-14,AK.A.5.L.3,AK,A,L,5,3,N,2019,1,0.03505632,53.35701343,53.39206975,6.5658290012254e-4
2019-07-14,AK.A.5.L.4,AK,A,L,5,4,Y,2019,1,0.028045056,40.63899402,43.68,6.4205714285714e-4
2019-07-14,AK.A.5.L.5,AK,A,L,5,5,N,2019,0,0,21.81107151,21.81107151,0
2019-07-14,AK.A.5.L.6,AK,A,L,5,6,N,2019,0,0,16.39276669,21.04,0
2019-07-14,AK.A.5.L.7,AK,A,L,5,7,N,2019,1,0.366023936,41.97054092,42.336564856,0.00864557474714736
2019-07-14,AK.A.5.L.8,AK,A,L,5,8,N,2019,1,1.468805875,54.84879468,64.89,0.0226353193866543
2019-07-14,AK.A.5.L.9,AK,A,L,5,9,Y,2019,1,0.9518060544,28.96703722,29.9188432744,0.0318129295865663
2019-07-14,AK.A.5.L.10,AK,A,L,5,10,N,2019,1,1.214566656,33.02810515,34.92,0.0347814048109966
2019-07-14,AK.A.5.L.11,AK,A,L,5,11,Y,2019,0,0,12.08777869,12.08777869,0
2019-07-14,AK.A.5.L.12,AK,A,L,5,12,N,2019,1,0.5308605504,16.65994979,17.1908103404,0.030880484391851402
2019-07-14,AK.A.5.L.13,AK,A,L,5,13,Y,2019,1,0.1556500608,9.427759059,11.62,0.01339501383821
2019-07-14,AK.A.5.L.14,AK,A,L,5,14,N,2019,1,0.114337536,19.4683745,19.582712036,0.00583869771407591
2019-07-14,AK.A.5.L.15,AK,A,L,5,15,N,2019,1,0.025348416,8.649706509,8.91,0.00284494006734007
2019-07-14,AK.A.6.L.1,AK,A,L,6,1,N,2019,1,1.538199411,13.87397909,15.412178501,0.0998041523396706
2019-07-14,AK.A.6.L.2,AK,A,L,6,2,N,2019,1,0.180854656,11.56667997,11.747534626,0.0153951158058072
2019-07-14,AK.A.6.L.3,AK,A,L,6,3,N,2019,1,5.169998208,10.28000516,15.450003368,0.334627642781495
2019-07-14,AK.A.6.L.4,AK,A,L,6,4,N,2019,1,7.232100838,6.714363936,13.946464774,0.518561582106643
2019-07-14,AK.A.6.L.5,AK,A,L,6,5,Y,2019,1,4.899129709,1.839306234,6.738435943,0.727042558605799
2019-07-14,AK.A.6.L.6,AK,A,L,6,6,Y,2019,0,0,5.376560832,6.48,0
2019-07-14,AK.A.6.L.7,AK,A,L,6,7,Y,2019,1,0.2550482112,12.35445841,15.69,0.016255462791587
2019-07-14,AK.A.6.L.8,AK,A,L,6,8,Y,2019,1,6.307135341,11.46911554,18.75,0.33638055152
2019-07-14,AK.A.6.L.9,AK,A,L,6,9,Y,2019,0,0,10.56921082,11.4,0
2019-07-14,AK.A.6.L.10,AK,A,L,6,10,N,2019,1,0.206382848,12.96796198,13.174344828,0.0156655113172205
2019-07-14,AK.A.6.L.11,AK,A,L,6,11,N,2019,1,4.29305088,11.85836653,16.15141741,0.265800255855068
2019-07-14,AK.A.6.L.12,AK,A,L,6,12,N,2019,1,1.731602432,12.67170911,16.35,0.105908405626911
2019-07-14,AK.A.6.L.13,AK,A,L,6,13,Y,2019,1,5.937228243,3.749947584,9.687175827,0.612895682811064
2019-07-14,AK.A.6.L.14,AK,A,L,6,14,N,2019,0,0,10.79910836,10.79910836,0
2019-07-14,AK.A.6.L.15,AK,A,L,6,15,N,2019,1,0.428945536,7.812777318,8.241722854,0.0520456151703545
2019-07-15,AK.B.1.U.1,AK,B,U,1,1,N,2019,0,0,15.89626134,15.89626134,0
2019-07-15,AK.B.1.U.2,AK,B,U,1,2,N,2019,1,0.945262208,28.14339347,29.088655678,0.0324959055675753
2019-07-15,AK.B.1.U.3,AK,B,U,1,3,Y,2019,1,0.132315136,46.01564474,48.66,0.00271917665433621
2019-07-15,AK.B.1.U.4,AK,B,U,1,4,N,2019,0,0,4.12226368,4.12226368,0
2019-07-15,AK.B.1.U.5,AK,B,U,1,5,N,2019,1,0.648452032,18.26173597,18.910188002,0.0342911467581083
2019-07-15,AK.B.1.U.6,AK,B,U,1,6,N,2019,0,0,22.11604352,22.32,0
2019-07-15,AK.B.1.U.7,AK,B,U,1,7,N,2019,0,0,29.80105404,29.80105404,0
2019-07-15,AK.B.1.U.8,AK,B,U,1,8,Y,2019,1,0.067236224,30.49649951,30.563735734,0.00219986930214177
2019-07-15,AK.B.1.U.9,AK,B,U,1,9,N,2019,0,0,15.82830601,19.16,0
2019-07-15,AK.B.1.U.10,AK,B,U,1,10,N,2019,0,0,12.50212641,14.84,0
2019-07-15,AK.B.1.U.11,AK,B,U,1,11,N,2019,1,0.257798784,9.952075763,10.209874547,0.0252499462959366
2019-07-15,AK.B.1.U.12,AK,B,U,1,12,Y,2019,1,4.294884595,36.3021497,43.38,0.0990060994698018
2019-07-15,AK.B.1.U.13,AK,B,U,1,13,Y,2019,1,0.329349632,42.11869432,42.448043952,0.00775888830996374
2019-07-15,AK.B.1.U.14,AK,B,U,1,14,N,2019,0,0,27.1135107,27.8,0
2019-07-15,AK.B.1.U.15,AK,B,U,1,15,N,2019,1,0.102112768,44.73767108,45.48,0.00224522357080035
2019-07-15,AK.B.2.U.1,AK,B,U,2,1,N,2019,0,0,39.54421211,44.46,0
2019-07-15,AK.B.2.U.2,AK,B,U,2,2,N,2019,1,0.4412062592,31.17527976,36.54,0.0120746102681992
2019-07-15,AK.B.2.U.3,AK,B,U,2,3,N,2019,1,0.122787008,25.74056139,26.45,0.00464223092627599
