SampleDate,SampleId,Region,SiteCode,TidalHeight,Transect,Meter,DensityQuadratSize,TotalShoots,FloweringShoots,CoverQuadratSize,PercentSeagrass,PercentBare,PercentOther,DensityShoots,Notes,Year
2019-07-14,AK.A.1.U.m4,AK,A,U,1,m4,0.25,120,0,0.25,0.5,0.5,0,480,NA,2019
2019-07-14,AK.A.1.U.m8,AK,A,U,1,m8,0.25,182,0,0.25,0.6,0.4,0,728,NA,2019
2019-07-14,AK.A.1.U.m12,AK,A,U,1,m12,0.25,93,0,0.25,0.4,0.6,0,372,NA,2019
2019-07-14,AK.A.1.U.m16,AK,A,U,1,m16,0.25,125,0,0.25,0.45,0.55,0,500,NA,2019
2019-07-14,AK.A.2.U.m4,AK,A,U,2,m4,0.25,295,0,0.25,0.55,0.45,0,1180,NA,2019
2019-07-14,AK.A.2.U.m8,AK,A,U,2,m8,0.25,180,0,0.25,0.4,0.6,0,720,NA,2019
2019-07-14,AK.A.2.U.m12,AK,A,U,2,m12,0.25,100,4,0.25,0.5,0.5,0,400,NA,2019
2019-07-14,AK.A.2.U.m16,AK,A,U,2,m16,0.25,158,0,0.25,0.75,0.25,0,632,NA,2019
2019-07-14,AK.A.3.U.m4,AK,A,U,3,m4,0.25,215,2,0.25,0.92,0.08,0,860,NA,2019
2019-07-14,AK.A.3.U.m8,AK,A,U,3,m8,0.25,176,2,0.25,0.9,0.1,0,704,NA,2019
2019-07-14,AK.A.3.U.m12,AK,A,U,3,m12,0.25,172,1,0.25,0.85,0.1,0.05,688,NA,2019
2019-07-14,AK.A.3.U.m16,AK,A,U,3,m16,0.25,190,0,0.25,0.72,0.16,0.06,760,NA,2019
2019-07-14,AK.A.4.L.m4,AK,A,L,4,m4,0.25,219,2,0.25,1,0,0,876,NA,2019
2019-07-14,AK.A.4.L.m8,AK,A,L,4,m8,0.25,184,3,0.25,1,0,0,736,NA,2019
2019-07-14,AK.A.4.L.m12,AK,A,L,4,m12,0.25,251,1,0.25,1,0,0,1004,NA,2019
2019-07-14,AK.A.4.L.m16,AK,A,L,4,m16,0.25,246,1,0.25,1,0,0,984,NA,2019
2019-07-14,AK.A.5.L.m4,AK,A,L,5,m4,0.25,189,0,0.25,1,0,0,756,NA,2019
2019-07-14,AK.A.5.L.m8,AK,A,L,5,m8,0.25,131,0,0.25,0.97,0.03,0,524,NA,2019
2019-07-14,AK.A.5.L.m12,AK,A,L,5,m12,0.25,110,2,0.25,0.96,0.04,0,440,NA,2019
2019-07-14,AK.A.5.L.m16,AK,A,L,5,m16,0.25,112,1,0.25,1,0,0,448,NA,2019
2019-07-14,AK.A.6.L.m4,AK,A,L,6,m4,0.25,118,1,0.25,0.98,0.02,0,472,NA,2019
2019-07-14,AK.A.6.L.m8,AK,A,L,6,m8,0.25,107,0,0.25,0.99,0.01,0,428,NA,2019
2019-07-14,AK.A.6.L.m12,AK,A,L,6,m12,0.25,162,4,0.25,0.98,0.02,0,648,NA,2019
2019-07-14,AK.A.6.L.m16,AK,A,L,6,m16,0.25,158,3,0.25,0.99,0.01,0,632,NA,2019
2019-07-15,AK.B.1.U.m4,AK,B,U,1,m4,0.25,68,0,0.25,0.5,0.3,0.2,272,NA,2019
2019-07-15,AK.B.1.U.m8,AK,B,U,1,m8,0.25,27,0,0.25,0.2,0.8,0,108,NA,2019
2019-07-15,AK.B.1.U.m12,AK,B,U,1,m12,0.25,32,0,0.25,0.2,0.8,0,128,NA,2019
2019-07-15,AK.B.1.U.m16,AK,B,U,1,m16,0.25,12,0,0.25,0.1,0.9,0,48,NA,2019
2019-07-15,AK.B.2.U.m4,AK,B,U,2,m4,0.25,25,0,0.25,0.6,0.4,0,100,NA,2019
2019-07-15,AK.B.2.U.m8,AK,B,U,2,m8,0.25,36,0,0.25,0.45,0.55,0,144,NA,2019
2019-07-15,AK.B.2.U.m12,AK,B,U,2,m12,0.25,68,0,0.25,0.7,0.3,0,272,NA,2019
2019-07-15,AK.B.2.U.m16,AK,B,U,2,m16,0.25,19,0,0.25,0.2,0.8,0,76,NA,2019
2019-07-15,AK.B.3.U.m4,AK,B,U,3,m4,0.25,56,0,0.25,0.8,0.2,0,224,NA,2019
2019-07-15,AK.B.3.U.m8,AK,B,U,3,m8,0.25,49,0,0.25,0.95,0.05,0,196,NA,2019
2019-07-15,AK.B.3.U.m12,AK,B,U,3,m12,0.25,64,1,0.25,0.45,0.55,0,256,NA,2019
2019-07-15,AK.B.3.U.m16,AK,B,U,3,m16,0.25,58,1,0.25,0.69,0.3,0.01,232,NA,2019
2019-07-15,AK.B.4.L.m4,AK,B,L,4,m4,0.25,99,0,0.25,0.55,0.45,0,396,NA,2019
2019-07-15,AK.B.4.L.m8,AK,B,L,4,m8,0.25,62,0,0.25,0.75,0.2,0.05,248,NA,2019
2019-07-15,AK.B.4.L.m12,AK,B,L,4,m12,0.25,65,0,0.25,0.92,0.08,0,260,NA,2019
