sampleid,newsampleid,fish-sample-id,SampleType,Region,RegionName,SiteCode,RegionSiteCode,DateCollectedWater,LocationName,Replicate,TotalWaterVolumeFiltered,SampleCode,ExtractedBy,DNAnguL,DilutedDNAForPCRnguL,PrimerConcentrationPCR,Notes
1-W,Sample1-W,F19SAMPLE1,water,BB,Bodega,E,BBE,7_31_19,Millerton,1,400,BB_E_1,DSB,34,3.4,0.3,
10-W,Sample10-W,F19SAMPLE10,water,WA,Washington,A,WAA,7_14_19,FourthofJuly,3,500,WA_A_3,DSB,17.1,1.71,0.3,
100-W,Sample100-W,F19SAMPLE100,water,AK,Alaska,A,AKA,7_14_19,NorthFishEgg,2,300,AK_A_2,DSB,26.7,2.67,0.13,
11-W,Sample11-W,F19SAMPLE11,water,BB,Bodega,D,BBD,7_17_19,CampbellCove,1,500,BB_D_1,DSB,39.3,3.93,0.3,
13-W,Sample13-W,F19SAMPLE13,water,BC,British_Columbia,A,BCA,7_30_19,Pruth Bay,2,500,BC_A_2,DSB,42.3,4.23,0.3,
14-W,Sample14-W,F19SAMPLE14,water,SD,San_Diego,E,SDE,7_25_19,CrownPoint,1,500,SD_E_1,DSB,38.6,3.86,0.3,
15-W,Sample15-W,F19SAMPLE15,water,WA,Washington,A,WAA,7_14_19,FourthofJuly,2,500,WA_A_2,DSB,41.3,4.13,0.3,
16-W,Sample16-W,F19SAMPLE16,water,AK,Alaska,A,AKA,7_14_19,NorthFishEgg,1,500,AK_A_1,DSB,30.6,3.06,0.3,
17-W,Sample17-W,F19SAMPLE17,water,WA,Washington,B,WAB,7_15_19,FalseBay,2,500,WA_B_2,DSB,35.8,3.58,0.3,
18-W,Sample18-W,F19SAMPLE18,water,BB,Bodega,F,BBF,8_2_19,BlakesLanding,2,400,BB_F_2,DSB,41.4,4.14,0.3,
19-W,Sample19-W,F19SAMPLE19,water,BC,British_Columbia,E,BCE,8_3_19,Superstition,1,500,BC_E_1,DSB,43.9,4.39,0.3,
2-W,Sample2-W,F19SAMPLE2,water,BB,Bodega,B,BBB,7_3_19,MasonsMarina,3,500,BB_B_3,DSB,25.3,2.53,0.3,
20-W,Sample20-W,F19SAMPLE20,water,SD,San_Diego,E,SDE,7_25_19,CrownPoint,3,500,SD_E_3,DSB,49.7,4.97,0.3,filter sitting partially out of solution
21-W,Sample21-W,F19SAMPLE21,water,OR,Oregon,C,ORC,7_4_19,SallyBendSouth,1,340,OR_C_1,DSB,37.7,3.77,0.3,
22-W,Sample22-W,F19SAMPLE22,water,WA,Washington,D,WAD,7_29_19,NorthCove,2,400,WA_D_2,DSB,35.5,3.55,0.3,
23-W,Sample23-W,F19SAMPLE23,water,BC,British_Columbia,C,BCC,8_1_19,Triquet,1,500,BC_C_1,DSB,27.4,2.74,0.3,
24-W,Sample24-W,F19SAMPLE24,water,WA,Washington,B,WAB,7_15_19,FalseBay,1,500,WA_B_1,DSB,28.4,2.84,0.3,
25-W,Sample25-W,F19SAMPLE25,water,AK,Alaska,D,AKD,7_17_19,Natzuhini,2,500,AK_D_2,DSB,47.9,4.79,0.3,volumes not written on tube
26-W,Sample26-W,F19SAMPLE26,water,OR,Oregon,E,ORE,7_6_19,SallyBendNorth,1,475,OR_E_1,DSB,55,5.5,0.3,
27-W,Sample27-W,F19SAMPLE27,water,BB,Bodega,E,BBE,7_31_19,Millerton,3,400,BB_E_3,DSB,47.3,4.73,0.3,
28-W,Sample28-W,F19SAMPLE28,water,AK,Alaska,C,AKC,7_16_19,Nossuk,3,400,AK_C_3,DSB,46,4.6,0.3,
29-W,Sample29-W,F19SAMPLE29,water,BB,Bodega,F,BBF,8_2_19,BlakesLanding,1,500,BB_F_1,DSB,60,6,0.3,
3-W,Sample3-W,F19SAMPLE3,water,AK,Alaska,E,AKE,7_18_19,Shinaku,2,400,AK_E_2,DSB,54,5.4,0.3,
30-W,Sample30-W,F19SAMPLE30,water,SD,San_Diego,A,SDA,7_23_19,ChulaVista,1,500,SD_A_1,DSB,48.2,4.82,0.3,
